condition,rsa,dataset,run,fixed,ml
context_aware,rsa,"(4,4)",0,4,
context_aware,test,"(4,4)",1,0,3.6
context_aware,test,"(4,4)",1,1,3.776
context_aware,test,"(4,4)",1,2,3.622
context_aware,test,"(4,4)",1,3,3.445
context_aware,test,"(4,4)",1,4,
context_aware,rsa,"(4,4)",1,0,2.56
context_aware,rsa,"(4,4)",1,1,2.865
context_aware,rsa,"(4,4)",1,2,2.78
context_aware,rsa,"(4,4)",1,3,2.7
context_aware,rsa,"(4,4)",1,4,
context_aware,test,"(4,4)",2,0,2.9
context_aware,test,"(4,4)",2,1,2.635
context_aware,test,"(4,4)",2,2,2.631
context_aware,test,"(4,4)",2,3,2.637
context_aware,test,"(4,4)",2,4,
context_aware,rsa,"(4,4)",2,0,1.94
context_aware,rsa,"(4,4)",2,1,1.747
context_aware,rsa,"(4,4)",2,2,1.798
context_aware,rsa,"(4,4)",2,3,1.829
context_aware,rsa,"(4,4)",2,4,
context_aware,test,"(4,4)",3,0,3.32
context_aware,test,"(4,4)",3,1,3.282
context_aware,test,"(4,4)",3,2,3.27
context_aware,test,"(4,4)",3,3,3.255
context_aware,test,"(4,4)",3,4,
context_aware,rsa,"(4,4)",3,0,2.62
context_aware,rsa,"(4,4)",3,1,2.465
context_aware,rsa,"(4,4)",3,2,2.448
context_aware,rsa,"(4,4)",3,3,2.3
context_aware,rsa,"(4,4)",3,4,
context_aware,test,"(4,4)",4,0,3.5
context_aware,test,"(4,4)",4,1,3.629
context_aware,test,"(4,4)",4,2,3.402
context_aware,test,"(4,4)",4,3,3.635
context_aware,test,"(4,4)",4,4,
context_aware,rsa,"(4,4)",4,0,2.92
context_aware,rsa,"(4,4)",4,1,2.994
context_aware,rsa,"(4,4)",4,2,2.687
context_aware,rsa,"(4,4)",4,3,2.902
context_aware,rsa,"(4,4)",4,4,
context_aware,test,"(4,8)",0,0,
context_aware,test,"(4,8)",0,1,4.2
context_aware,test,"(4,8)",0,2,4.6
context_aware,test,"(4,8)",0,3,4.65
context_aware,test,"(4,8)",0,4,
context_aware,rsa,"(4,8)",0,0,
context_aware,rsa,"(4,8)",0,1,3.2
context_aware,rsa,"(4,8)",0,2,3.98
context_aware,rsa,"(4,8)",0,3,4.125
context_aware,rsa,"(4,8)",0,4,
context_aware,test,"(4,8)",1,0,
context_aware,test,"(4,8)",1,1,4.9
context_aware,test,"(4,8)",1,2,5.06
context_aware,test,"(4,8)",1,3,4.425
context_aware,test,"(4,8)",1,4,
context_aware,rsa,"(4,8)",1,0,
context_aware,rsa,"(4,8)",1,1,4.5
context_aware,rsa,"(4,8)",1,2,3.84
context_aware,rsa,"(4,8)",1,3,3.9
context_aware,rsa,"(4,8)",1,4,
context_aware,test,"(4,8)",2,0,
context_aware,test,"(4,8)",2,1,3.8
context_aware,test,"(4,8)",2,2,4.08
context_aware,test,"(4,8)",2,3,3.5
context_aware,test,"(4,8)",2,4,
context_aware,rsa,"(4,8)",2,0,
context_aware,rsa,"(4,8)",2,1,3.0
context_aware,rsa,"(4,8)",2,2,3.36
context_aware,rsa,"(4,8)",2,3,3.175
context_aware,rsa,"(4,8)",2,4,
context_aware,test,"(4,8)",3,0,
context_aware,test,"(4,8)",3,1,3.2
context_aware,test,"(4,8)",3,2,3.02
context_aware,test,"(4,8)",3,3,2.875
context_aware,test,"(4,8)",3,4,
context_aware,rsa,"(4,8)",3,0,
context_aware,rsa,"(4,8)",3,1,2.7
context_aware,rsa,"(4,8)",3,2,2.58
context_aware,rsa,"(4,8)",3,3,2.325
context_aware,rsa,"(4,8)",3,4,
context_aware,test,"(4,8)",4,0,
context_aware,test,"(4,8)",4,1,2.7
context_aware,test,"(4,8)",4,2,2.22
context_aware,test,"(4,8)",4,3,3.025
context_aware,test,"(4,8)",4,4,
context_aware,rsa,"(4,8)",4,0,
context_aware,rsa,"(4,8)",4,1,0.5
context_aware,rsa,"(4,8)",4,2,1.46
context_aware,rsa,"(4,8)",4,3,1.75
context_aware,rsa,"(4,8)",4,4,
context_aware,test,"(5,4)",0,0,
context_aware,test,"(5,4)",0,1,
context_aware,test,"(5,4)",0,2,3.9
context_aware,test,"(5,4)",0,3,3.85
context_aware,test,"(5,4)",0,4,3.175
context_aware,rsa,"(5,4)",0,0,
context_aware,rsa,"(5,4)",0,1,
context_aware,rsa,"(5,4)",0,2,2.775
context_aware,rsa,"(5,4)",0,3,2.7
context_aware,rsa,"(5,4)",0,4,2.6
context_aware,test,"(5,4)",1,0,
context_aware,test,"(5,4)",1,1,
context_aware,test,"(5,4)",1,2,3.975
context_aware,test,"(5,4)",1,3,4.3
context_aware,test,"(5,4)",1,4,3.525
context_aware,rsa,"(5,4)",1,0,
context_aware,rsa,"(5,4)",1,1,
context_aware,rsa,"(5,4)",1,2,2.9
context_aware,rsa,"(5,4)",1,3,3.7
context_aware,rsa,"(5,4)",1,4,2.75
context_aware,test,"(5,4)",2,0,
context_aware,test,"(5,4)",2,1,
context_aware,test,"(5,4)",2,2,3.05
context_aware,test,"(5,4)",2,3,3.5
context_aware,test,"(5,4)",2,4,3.55
context_aware,rsa,"(5,4)",2,0,
context_aware,rsa,"(5,4)",2,1,
context_aware,rsa,"(5,4)",2,2,2.775
context_aware,rsa,"(5,4)",2,3,3.3
context_aware,rsa,"(5,4)",2,4,2.925
context_aware,test,"(5,4)",3,0,
context_aware,test,"(5,4)",3,1,
context_aware,test,"(5,4)",3,2,4.275
context_aware,test,"(5,4)",3,3,3.75
context_aware,test,"(5,4)",3,4,4.5
context_aware,rsa,"(5,4)",3,0,
context_aware,rsa,"(5,4)",3,1,
context_aware,rsa,"(5,4)",3,2,2.975
context_aware,rsa,"(5,4)",3,3,2.85
context_aware,rsa,"(5,4)",3,4,2.95
context_aware,test,"(5,4)",4,0,
context_aware,test,"(5,4)",4,1,
context_aware,test,"(5,4)",4,2,4.025
context_aware,test,"(5,4)",4,3,4.05
context_aware,test,"(5,4)",4,4,4.2
context_aware,rsa,"(5,4)",4,0,
context_aware,rsa,"(5,4)",4,1,
context_aware,rsa,"(5,4)",4,2,3.225
context_aware,rsa,"(5,4)",4,3,2.9
context_aware,rsa,"(5,4)",4,4,3.55
